vendor_id,vendor_performance_variability,shipping_route,warehouse_location,transportation_mode,political_instability_index,weather_condition_severity,disruption_occurred
V104,8.03,Africa-Europe,Mumbai,Rail,7.44,5.28,1
V105,4.58,Asia-Europe,Berlin,Rail,7.4,2.29,1
V103,4.83,MiddleEast-Asia,Shanghai,Road,2.48,2.01,0
V105,1.33,US-Asia,Singapore,Sea,8.34,9.07,1
V105,0.81,MiddleEast-Asia,Shanghai,Rail,4.05,2.64,0
V102,7.28,MiddleEast-Asia,New York,Road,9.62,2.81,1
V103,4.96,Europe-US,Mumbai,Road,0.81,4.13,0
V103,4.37,Europe-US,New York,Sea,4.36,1.39,0
V103,7.3,MiddleEast-Asia,New York,Road,5.56,5.07,1
V105,7.66,US-Asia,Dubai,Sea,4.05,6.65,1
V104,1.59,MiddleEast-Asia,Berlin,Air,2.11,7.86,0
V103,6.1,Europe-US,Shanghai,Rail,5.93,7.11,1
V106,1.35,US-Asia,Mumbai,Road,7.56,1.48,0
V105,7.51,MiddleEast-Asia,Singapore,Air,6.45,4.56,1
V102,6.57,Africa-Europe,Berlin,Road,2.34,0.39,0
V104,9.57,Africa-Europe,Berlin,Road,7.32,0.18,1
V106,0.69,MiddleEast-Asia,Mumbai,Air,2.57,4.4,0
V106,0.57,US-Asia,Berlin,Road,1.75,2.53,0
V102,2.82,MiddleEast-Asia,Dubai,Road,6.91,6.83,1
V104,2.62,MiddleEast-Asia,Berlin,Air,8.43,7.24,1
V105,2.47,Europe-US,Dubai,Road,4.82,8.95,1
V101,9.06,Africa-Europe,Shanghai,Sea,5.31,7.61,1
V104,2.5,Europe-US,Shanghai,Road,3.03,0.48,0
V102,2.72,Europe-US,New York,Rail,4.95,3.72,0
V106,7.59,MiddleEast-Asia,Dubai,Road,1.32,2.73,0
V105,4.5,Europe-US,Singapore,Rail,9.56,3.86,1
V104,7.77,Africa-Europe,Shanghai,Rail,8,1.6,1
V101,0.65,Europe-US,Berlin,Road,6.68,0.98,0
V101,4.88,Africa-Europe,Mumbai,Air,5.38,5.21,1
V103,0.34,Europe-US,Mumbai,Sea,7.92,7.2,1
V103,0.63,Africa-Europe,Dubai,Sea,4.95,7.02,1
V102,9.06,Europe-US,Singapore,Road,3,4.51,1
V104,1.39,Europe-US,New York,Air,1.6,5.22,0
V104,5.32,US-Asia,Berlin,Air,6.48,5.16,1
V106,4.11,Africa-Europe,Dubai,Sea,9.29,6.92,1
V106,3.47,Africa-Europe,Mumbai,Air,1.54,0.48,0
V106,9,Africa-Europe,Dubai,Road,1.8,7.1,1
V103,0.22,Asia-Europe,Berlin,Road,4.34,5.82,0
V104,6.64,Europe-US,Singapore,Air,8.07,1.98,1
V104,9.63,Africa-Europe,Singapore,Road,2.94,0.49,1
V101,5.6,Asia-Europe,Shanghai,Rail,2.54,1.09,0
V103,9.37,US-Asia,Berlin,Sea,6.2,5.25,1
V105,0.52,Africa-Europe,Shanghai,Road,5.36,7.58,1
V103,4.19,Africa-Europe,Shanghai,Air,0.6,3.35,0
V105,2.6,Asia-Europe,Shanghai,Sea,0.81,3.79,0
V101,7.31,Europe-US,Dubai,Road,6.43,9.34,1
V102,9.81,US-Asia,Mumbai,Sea,4.65,2.13,1
V104,2.57,Africa-Europe,Singapore,Air,9.71,1.04,1
V101,6.54,Europe-US,Dubai,Rail,6.79,3.43,1
V104,1.98,US-Asia,Mumbai,Rail,0.1,7.46,0
V106,5.65,MiddleEast-Asia,Singapore,Road,4.81,6.26,1
V102,4.64,MiddleEast-Asia,Berlin,Rail,4.14,4.16,1
V102,9.72,US-Asia,Singapore,Road,1.07,9.65,1
V101,6.09,Asia-Europe,Singapore,Sea,9.23,7.35,1
V102,3.5,US-Asia,Singapore,Road,8.05,0.62,0
V105,1.14,US-Asia,New York,Road,2.3,7.45,0
V102,1.51,Asia-Europe,Berlin,Road,2.56,0.24,0
V104,2.25,Asia-Europe,Dubai,Rail,0.32,6.5,0
V104,2.51,Europe-US,Dubai,Road,2.97,2.1,0
V104,8.51,Europe-US,Mumbai,Air,5.85,6.96,1
V104,5.61,Asia-Europe,Dubai,Road,4.21,3.1,1
V105,5.23,MiddleEast-Asia,Shanghai,Sea,9.69,8.73,1
V103,1.15,MiddleEast-Asia,Singapore,Air,0.56,3.37,0
V106,8.6,US-Asia,Dubai,Sea,5.91,6.2,1
V101,7.23,Africa-Europe,Mumbai,Sea,8.58,2.86,1
V104,0.68,US-Asia,Mumbai,Sea,4.81,9.17,1
V102,7.08,US-Asia,Shanghai,Air,0.03,7.81,1
V104,5.44,Africa-Europe,Mumbai,Air,2.43,2.43,0
V102,0.82,Asia-Europe,New York,Rail,3.24,9.49,1
V106,4.58,MiddleEast-Asia,Singapore,Air,9.66,3.57,1
V106,4.85,US-Asia,Singapore,Road,9.12,6.52,1
V106,1.66,Africa-Europe,Singapore,Sea,9.49,7.43,1
V102,9.46,Europe-US,Berlin,Rail,8.26,0.23,1
V104,8.5,US-Asia,Dubai,Air,3.52,9.59,1
V106,6.69,MiddleEast-Asia,New York,Sea,9.06,3.44,1
V105,4.62,Asia-Europe,Dubai,Air,9.82,1.9,1
V102,4.12,US-Asia,New York,Rail,3.5,8.51,1
V102,6.51,US-Asia,Dubai,Air,2.61,7.03,1
V104,5.45,Africa-Europe,Shanghai,Air,5.47,0.87,0
V102,0.62,Europe-US,Mumbai,Sea,1.87,1.17,0
V102,5.13,Europe-US,Mumbai,Road,0.33,7.15,1
V106,8.06,Asia-Europe,Shanghai,Air,9.46,0.75,1
V104,4.59,MiddleEast-Asia,New York,Rail,9.26,9.17,1
V106,0.52,Asia-Europe,Berlin,Air,1.63,7.42,0
V106,7.86,US-Asia,New York,Air,4.08,3.35,1
V104,2.01,US-Asia,Mumbai,Road,8.31,3.63,1
V101,2.59,Europe-US,Berlin,Sea,6.61,5.06,1
V106,1.65,MiddleEast-Asia,Dubai,Rail,3.95,3.61,0
V105,3.3,Africa-Europe,Berlin,Sea,7.44,7.83,1
V105,7.57,MiddleEast-Asia,New York,Sea,8.97,9.75,1
